StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8,Trial Timing_First Click,Trial Timing_Last Click,Trial Timing_Page Submit,Trial Timing_Click Count,Q01,Q02,AT1,Q03,Q04,Q05,Q06,Q07,Q08,Q09,AT2,Q10,Q34,Q23,Q35,SC0,assigned_doc,reading_rt,reading_completed,PROLIFIC_PID,STUDY_ID,SESSION_ID,reading_time,Q_DataPolicyViolations
2026-06-15 11:48:38,2026-06-15 11:55:10,IP Address,174.54.113.235,100,391,True,2026-06-15 11:55:11,R_79X3t1AvF1kN8tj,,,,,40.5488,-75.9874,anonymous,EN,I consent,54.494,76.762,120.005,3,"The crestling eats beetle larvae.,The crestling eats nuts and seeds.",Gliding on long pointed wings -- crestling,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.,The crestling's two-note call carries farther than the sunwhistle's song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle defends a fixed territory year-round.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.","The Ashvane crestling is Loxica vitrea.,The pellucid sunwhistle is Aetheria murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",3,6,,2,birds_easier,,true,62a96f8f6ab7e0c3ce90095f,6a301620b2fdffbbf752e40e,6a301ec984c5602316979e5d,2,
2026-06-15 11:50:36,2026-06-15 11:55:11,IP Address,173.161.59.225,100,274,True,2026-06-15 11:55:11,R_6vAXiJrbOHN6nE5,,,,,42.0648,-87.9356,anonymous,EN,I consent,9.384,116.71,120.577,6,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","The crestling is roughly 18 cm from head to tail.,The sunwhistle is larger than the crestling.",The Ashvane crestling is Loxica vitrea.,Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",1,1,,2,birds,,true,67147a6a2c208253099ab82b,6a301620b2fdffbbf752e40e,6a301f368daa69fe63b1d19d,2,
2026-06-15 11:50:06,2026-06-15 11:55:33,IP Address,72.83.177.217,100,326,True,2026-06-15 11:55:33,R_1e2BafcnLqbZcDD,,,,,38.9522,-77.0253,anonymous,EN,I consent,0,0,120.016,0,The crestling eats beetle larvae.,None of the above,Green versus rose,None of the above,"The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.","The Ashvane crestling is Loxica vitrea.,The pellucid sunwhistle is Aetheria murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",5,5,n/a,2,birds_listed,,true,66103f5ad914390d96262539,6a301620b2fdffbbf752e40e,6a301f22ab1634a9d19c6c39,2,
2026-06-15 11:50:15,2026-06-15 11:55:39,IP Address,174.177.7.191,100,323,True,2026-06-15 11:55:39,R_1TTawczAq8GdXKW,,,,,35.8974,-83.9425,anonymous,EN,I consent,0,0,120.018,0,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.",None of the above,"The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","The crestling is roughly 18 cm from head to tail.,The sunwhistle is larger than the crestling.",The Ashvane crestling is Aetheria vitrea.,Plumage strategy,The two-note call and densely forested habitat are traits the passage gives the crestling.,6,8,No,2,birds,,true,69cec741c829a5fb4fc4597b,6a301620b2fdffbbf752e40e,6a301f2c3b4f85aede31ae13,2,
2026-06-15 11:49:40,2026-06-15 11:56:00,IP Address,24.184.20.68,100,379,True,2026-06-15 11:56:00,R_3pBWKzSoPOoiCat,,,,,41.1997,-73.4343,anonymous,EN,I consent,0,0,120.01,0,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.",None of the above,Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",5,8,,2,birds,,true,69c0864ff3a26c63f53c2201,6a301620b2fdffbbf752e40e,6a301f0c7890d2eafdc23dc8,2,
2026-06-15 11:48:10,2026-06-15 11:56:04,IP Address,68.8.140.2,100,473,True,2026-06-15 11:56:04,R_38qX5CygekjYiFb,,,,,33.2421,-117.3045,anonymous,EN,I consent,0,0,300.02,0,"The crestling eats beetle larvae.,The crestling eats nuts and seeds.,The crestling travels in large flocks to forage.","Two-note call -- sunwhistle,Migratory flocking -- crestling,Gliding on long pointed wings -- crestling","Residency versus migration,Solitary defence versus gregarious flocking","The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.,The sunwhistle is grey above and pale beneath.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.,The crestling's two-note call carries farther than the sunwhistle's song.","The crestling defends a fixed territory year-round.,The sunwhistle is solitary and territorial.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.,The crestling has a retractable cartilaginous crest that flushes a faint rose colour from engorged blood vessels.,The sunwhistle has a retractable cartilaginous crest.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.,The crestling is a migratory species.","The crestling is roughly 18 cm from head to tail.,The crestling is built for sustained gliding on long, narrow wings.","The Ashvane crestling is Loxica vitrea.,The pellucid sunwhistle is Aetheria murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The 11-cm size and gliding flight are traits the passage gives the crestling.,The two-note call and gliding flight are traits the passage gives the sunwhistle.",6,7,no,1,birds_distractors,,true,69da5c665b5e0665d27ebb27,6a301620b2fdffbbf752e40e,6a301eb2b294359699957573,5,
2026-06-15 11:51:14,2026-06-15 11:56:08,IP Address,68.32.72.22,100,294,True,2026-06-15 11:56:09,R_5dKcZ2t64iyT2LC,,,,,42.2709,-83.7268,anonymous,EN,I consent,0,0,120.018,0,The crestling travels in large flocks to forage.,"Two-note call -- sunwhistle,Migratory flocking -- crestling",Green versus rose,The sunwhistle's back changes hue from gold to green depending on the angle of view.,"The crestling's two-note call carries farther than the sunwhistle's song.,The sunwhistle relies on close-range visual signalling rather than song.","The sunwhistle travels in flocks of several hundred.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The sunwhistle inhabits open coastal scrubland.,The crestling is a migratory species.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is built for sustained gliding on long, narrow wings.","The Ashvane crestling is Aetheria vitrea.,The pellucid sunwhistle is Loxica murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the crestling.,The two-note call and gliding flight are traits the passage gives the sunwhistle.",10,10,"It made it extra difficult that the order in which the two species were discussed wasn't consistent. Also, I have ADHD, so trying to process dense text like this is incredibly difficult for me",2,birds_listed,,true,5d93b788fdfe9d001c00c255,6a301620b2fdffbbf752e40e,6a301eb9e7bd943bbbb95729,2,
2026-06-15 11:48:10,2026-06-15 11:56:12,IP Address,67.180.245.94,100,482,True,2026-06-15 11:56:12,R_3kcqLQovooXbVIJ,,,,,37.3974,-122.001,anonymous,EN,I consent,0,0,120.014,0,The crestling eats beetle larvae.,None of the above,Green versus rose,The sunwhistle's back changes hue from gold to green depending on the angle of view.,"The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.",None of the above,"The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.",None of the above,Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.,The two-note call and gliding flight are traits the passage gives the sunwhistle.",1,6,I thought the reading time would feel shorter but I was able to read it multiple times in two minutes and focus on each passage separately to distinguish each bird.,2,birds,,true,69dd297487c7874b5c22b7d6,6a301620b2fdffbbf752e40e,6a301eb03832dbb8f62d415f,2,
2026-06-15 11:49:19,2026-06-15 11:56:26,IP Address,163.252.219.160,100,427,True,2026-06-15 11:56:27,R_1gZwbCtMUOy3ncf,,,,,42.9948,-71.458,anonymous,EN,I consent,0,0,120.021,0,None of the above,None of the above,,The crestling's pale-bellied colouring conceals it from predators looking up from below.,"The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling defends a fixed territory year-round.",The sunwhistle has a retractable cartilaginous crest.,The crestling inhabits cloud forests of upland river valleys.,"Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.","The Ashvane crestling is Loxica vitrea.,The pellucid sunwhistle is Aetheria murina.",Plumage strategy,The 11-cm size and gliding flight are traits the passage gives the crestling.,8,9,Was surprised at how little I actually remembered...,1,birds_easier,,true,69e671d8d7df4dd0aa03cd8f,6a301620b2fdffbbf752e40e,6a301eebbeb9b06f15b8a0ab,2,
2026-06-15 11:51:07,2026-06-15 11:56:32,IP Address,57.138.132.86,100,325,True,2026-06-15 11:56:32,R_5YckVRmLbeUJgfn,,,,,35.5318,-98.7028,anonymous,EN,I consent,0,0,120.017,0,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.","The Ashvane crestling is Aetheria vitrea.,The pellucid sunwhistle is Loxica murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",1,3,,2,birds_easier,,true,647e00af96651278d30d298a,6a301620b2fdffbbf752e40e,6a301f16360d5a834662322e,2,
2026-06-15 11:50:16,2026-06-15 11:56:56,IP Address,67.171.148.58,100,399,True,2026-06-15 11:56:56,R_7QDFFHoTmWar16a,,,,,44.6279,-123.0592,anonymous,EN,I consent,0,0,120.009,0,None of the above,None of the above,Green versus rose,The crestling's pale-bellied colouring conceals it from predators looking up from below.,"The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.,The sunwhistle has a retractable cartilaginous crest.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.","The pellucid sunwhistle is Aetheria murina.,The Ashvane crestling is Aetheria vitrea.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",8,4,"The reading was daunting initially, but as one read on and considered the passage as a whole, it became easier to note that it was all about contrast of two things, which eased the mental burden.",2,birds_listed,,true,69fd5d755fb996a831f58d5f,6a301620b2fdffbbf752e40e,6a301f2fb1871f9a23332c24,2,
2026-06-15 11:48:20,2026-06-15 11:57:05,IP Address,68.61.192.12,100,525,True,2026-06-15 11:57:05,R_79gHH3aP6yJeMnv,,,,,42.6791,-84.5767,anonymous,EN,I consent,0,0,120.049,0,The crestling eats nuts and seeds.,"Migratory flocking -- crestling,Countershading grey-white plumage -- sunwhistle",Green versus rose,"The crestling's pale-bellied colouring conceals it from predators looking up from below.,The crestling's back changes hue from gold to green with the angle of view.","The crestling's two-note call carries farther than the sunwhistle's song.,The sunwhistle relies on close-range visual signalling rather than song.","The sunwhistle travels in flocks of several hundred.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.,The crestling is named for its translucent outer primary feathers.","The crestling is a migratory species.,The sunwhistle defends a fixed territory year-round.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.","The Ashvane crestling is Aetheria vitrea.,The pellucid sunwhistle is Loxica murina.",Plumage strategy,The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,2,7,No Issues,2,birds_easier,,true,5d1e2045a37a4d001a1fc2cb,6a301620b2fdffbbf752e40e,6a301eb8eebb1a56348d9f1c,2,
