StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,audio check,Trial Timing_First Click,Trial Timing_Last Click,Trial Timing_Page Submit,Trial Timing_Click Count,Q26_First Click,Q26_Last Click,Q26_Page Submit,Q26_Click Count,Q01,Q02,AT1,Q03,Q04,Q05,Q06,Q07,Q08,Q09,AT2,Q10,Q34,Q23,Q35,SC0,assigned_doc,listening_rt,listening_completed,PROLIFIC_PID,STUDY_ID,SESSION_ID,reading_time,Q_DataPolicyViolations
2026-06-18 11:21:51,2026-06-18 11:22:15,0,76.26.0.202,100,24,1,2026-06-18 11:22:16,R_11pjkMe8P8QDK32,,,,,26.0162,-80.1955,anonymous,EN,1,4,,,,,,,,,,,,,,,,,,,,,,,,,birds,,,60e9e8092cfc1f464753dd71,6a34085bf06baf2e13523910,6a340d0877b66d7bede31f7f,2,
2026-06-18 11:21:44,2026-06-18 11:24:05,0,104.220.21.126,100,140,1,2026-06-18 11:24:05,R_66aOCQgpkPnXMtj,,,,,38.8131,-121.2653,anonymous,EN,1,4,,,,,,,,,,,,,,,,,,,,,,,,,birds_listed,,,6339ef9db2af9dd1475f9187,6a34085bf06baf2e13523910,6a340c9fab93c5ddb27c7e5e,2,
2026-06-18 11:19:45,2026-06-18 11:24:33,0,74.137.237.234,100,288,1,2026-06-18 11:24:34,R_1vHMQiVSdKGLVBf,,,,,39.4522,-83.841,anonymous,EN,1,"4,7",1.504,87.383,111.151,5,2.073,129.894,134.56,22,2,1,4,2,"1,2",2,"3,4","1,2",3,1,3,"1,4",10,10,Nothing I can think of.,2,birds_listed,108844,true,5d951ede9b6f880018f63b6e,6a34085bf06baf2e13523910,6a340c849ca81c86e93d0c84,2,
2026-06-18 11:24:36,2026-06-18 11:24:49,0,75.194.24.175,100,13,1,2026-06-18 11:24:50,R_39WJEgf8G6O4rmh,,,,,41.8502,-87.6736,anonymous,EN,1,4,,,,,,,,,,,,,,,,,,,,,,,,,birds_repeat,,,69c5915a7ea736a741709ca4,6a34085bf06baf2e13523910,6a340d8506c3a9db31c4caa4,5,
2026-06-18 11:20:30,2026-06-18 11:25:24,0,71.30.244.169,100,293,1,2026-06-18 11:25:25,R_3GPn5vM3e7eAGUY,,,,,35.4838,-80.6031,anonymous,EN,1,"4,7",1.598,1.598,106.037,1,21.122,152.137,153.31,29,"4,1","1,3,4",4,"3,4","3,4","2,4","2,4","1,3","2,4","2,3",3,"1,2",8,8,,2,birds_easier,102917,true,699ca1d819e8b3d00305124c,6a34085bf06baf2e13523910,6a340cb8732168d6c9d981f2,2,
2026-06-18 11:20:10,2026-06-18 11:25:41,0,47.164.98.160,100,331,1,2026-06-18 11:25:41,R_5m9PSuh9aqykg2L,,,,,41.6836,-72.9295,anonymous,EN,1,"4,7",1.546,1.546,117.125,1,4.969,162.95,163.79,17,"3,2","1,2",4,5,"2,3","1,3",3,3,"2,4",5,3,1,9,8,,2,birds,103825,true,6a2601fe8e6d71a830c96a3d,6a34085bf06baf2e13523910,6a340c830bf2192dc7f5edcb,2,
2026-06-18 11:20:28,2026-06-18 11:26:30,0,98.26.167.244,100,361,1,2026-06-18 11:26:30,R_75Gvg3OrV8NcrkJ,,,,,36.069,-79.4006,anonymous,EN,1,"4,7",2.741,2.741,107.924,1,1.9,154.921,160.72,58,"4,1,2","1,4",4,4,"1,3,4","1,2,4",4,"2,4","3,4","1,2",3,"3,4",8,10,Subtitles would be nice! That way we can read as he talks about the birds.,2,birds,103683,true,663b911b5f8a5f3f42047bba,6a34085bf06baf2e13523910,6a340caeca8199362a0b7055,2,
2026-06-18 11:21:54,2026-06-18 11:26:38,0,173.48.162.98,100,284,1,2026-06-18 11:26:39,R_1rxpQC3aiyUidf4,,,,,42.5826,-71.0949,anonymous,EN,1,"4,7",2.287,2.287,113.098,1,5.794,126.617,127.51,23,4,"1,2,3",4,"1,2",4,2,3,"3,4","1,2","1,4",3,"3,4",3,3,,2,birds_listed,108897,true,5a9998a14eecca0001dd791e,6a34085bf06baf2e13523910,6a340d06b1e1a1103efb7dc4,2,
2026-06-18 11:19:51,2026-06-18 11:26:45,0,76.34.88.53,100,413,1,2026-06-18 11:26:45,R_6QRR7Rf5rdepK8l,,,,,39.9648,-83.126,anonymous,EN,1,"4,7",2.222,2.222,114.133,1,7.513,194.398,196.91,32,"3,1",5,4,"1,2","1,2,3","1,2","1,4","1,2","1,3","1,2",3,"1,2",2,7,N/A,2,birds_listed,108865,true,610cb2e82784ac6af6469fc5,6a34085bf06baf2e13523910,6a340c8fb7051a67374323cd,2,
2026-06-18 11:19:49,2026-06-18 11:27:08,0,70.179.93.12,100,438,1,2026-06-18 11:27:09,R_7dY2fYbAYUmLGyS,,,,,39.0151,-95.6402,anonymous,EN,1,"4,7",4.199,4.199,114.824,1,9.738,258.516,259.622,42,"4,2","1,3",4,"3,4","1,2","3,4","1,2","3,4","1,3","1,2",3,"3,4",7,2,,2,birds_listed,108940,true,6a1874d2b6c7c957c0da8155,6a34085bf06baf2e13523910,6a340c88332a207940a6188e,2,
2026-06-18 11:20:19,2026-06-18 11:27:08,0,97.233.147.200,100,409,1,2026-06-18 11:27:09,R_6aYj2Y89T85FnJ7,,,,,41.212,-96.1101,anonymous,EN,1,"4,7",3.194,3.194,195.661,1,7.065,139.175,143.988,39,"4,1",5,4,2,"1,2,3",2,1,2,1,5,3,"1,2",2,7,n/a,2,birds_repeat,190193,true,6942d96507ca4dc6182472ed,6a34085bf06baf2e13523910,6a340caa7e6c17b8d5d981ed,5,
2026-06-18 11:19:41,2026-06-18 11:27:38,0,136.56.220.122,100,477,1,2026-06-18 11:27:39,R_3rNbJzs6hRx1P1D,,,,,35.8047,-78.8881,anonymous,EN,1,"4,7",1.934,1.934,213.9,1,30.963,215.747,216.482,21,"4,1","3,4",4,"1,2,4",4,"3,4","3,4",1,5,"2,3",3,3,9,9,,2,birds_distractors,210716,true,66f55772a7312a23f27b3196,6a34085bf06baf2e13523910,6a340c85f442d17a401da88d,5,
2026-06-18 11:21:28,2026-06-18 11:27:49,0,96.230.218.171,100,381,1,2026-06-18 11:27:50,R_7DqCTykcs2BCfTz,,,,,42.1398,-71.5162,anonymous,EN,1,"4,7",2.811,11.755,109.377,2,12.869,149.701,151.242,20,1,"1,4",4,2,"1,2","1,2,4","1,4","1,4",1,3,3,2,7,9,"I paid close attention, but boy did those questions feel tough! I thought liking birds would help me retain more information, but it certainly did not.",2,birds,103665,true,6a19791a82f03e0946b8b4d7,6a34085bf06baf2e13523910,6a340cedaccb6e75592d9bb2,2,
2026-06-18 11:19:56,2026-06-18 11:27:51,0,96.255.178.147,100,475,1,2026-06-18 11:27:52,R_5jkURekO3gWKeK8,,,,,38.9779,-77.0806,anonymous,EN,1,"4,7",1.971,1.971,194.403,1,5.073,99.022,99.825,19,"4,1","1,2,3",4,2,"1,2",3,"1,2,4",1,3,4,3,"2,3",10,10,"It was very dense information and too much to keep track of without taking notes, especially for visual learners (like me).",2,birds_repeat,190478,true,5dcf402982569a08ddd84086,6a34085bf06baf2e13523910,6a340c95141e87f12e4ee027,5,
2026-06-18 11:20:32,2026-06-18 11:27:53,0,76.181.123.229,100,441,1,2026-06-18 11:27:53,R_3I9VPcWntdz7U5T,,,,,39.9889,-82.6693,anonymous,EN,1,"4,7",2.014,2.014,106.932,1,10.415,206.861,216.9,55,"3,2","1,4",4,"1,2",5,1,1,"1,3","1,3",4,3,"1,2",9,8,"I heard and thought I listened to all of it, but about the only thing I could retain was the sun whistles size at 11cm.",2,birds_easier,102975,true,6a009b2d94542e7e1a35c722,6a34085bf06baf2e13523910,6a340c846144da0b500b1faf,2,
2026-06-18 11:21:52,2026-06-18 11:28:01,0,108.216.156.136,100,369,1,2026-06-18 11:28:02,R_5OoWbbmFiA9OZe1,,,,,37.9145,-122.3007,anonymous,EN,1,"4,7",2.425,2.425,108.057,1,6.518,180.788,185.339,20,"4,2","1,2",4,3,"1,3,4",3,2,1,"3,4",3,3,"3,4",10,10,"The narration was great, but very difficult to remember anything about it! Partially this was because of the very flowerly language being used. ",2,birds,103677,true,6a225d76daeb135a93c4a334,6a34085bf06baf2e13523910,6a340d04025d5743216da1b4,2,
2026-06-18 11:21:42,2026-06-18 11:28:06,0,172.56.93.225,100,384,1,2026-06-18 11:28:06,R_1l1MiwgkH7153rP,,,,,29.4553,-98.5677,anonymous,EN,1,"4,7",1.706,1.706,105.646,1,13.857,196.233,196.836,38,1,"1,3",2,"3,4",5,3,"1,4",3,4,"1,2",3,"3,4",10,10,My memory recall is so bad. that the question made me laugh because of how much i didnt pick up from the speaker.,1,birds_easier,102929,true,6a062d27a86663639d44d63a,6a34085bf06baf2e13523910,6a340cfd1dd780080a2d9b98,2,
2026-06-18 11:21:56,2026-06-18 11:28:35,0,66.11.148.37,100,399,1,2026-06-18 11:28:35,R_5dsGl99wRhOq35e,,,,,33.9429,-91.8435,anonymous,EN,1,"4,7",3.352,3.352,114.4,1,5.863,141.243,143.002,23,"4,1","1,3",4,"2,4","2,3,4","1,2","1,4","1,2","1,3","2,3",3,"3,4",10,10,"It seemed to all flow into one huge deal without a break... It seems like it could have just talked about one bird without doing the comparisons until the end.  Everything went fine, I just had a hard time distinguishing between the birds because it was going fast and intertwining the species.",2,birds_listed,109070,true,5e07a0898dffa00ff1aaf60f,6a34085bf06baf2e13523910,6a340d0e5b1224139fc74cc3,2,
2026-06-18 11:19:47,2026-06-18 11:28:43,0,206.82.182.9,100,535,1,2026-06-18 11:28:43,R_5kTB12JgR7efB0R,,,,,39.7184,-82.6073,anonymous,EN,1,"4,7",2.665,2.665,109.321,1,7.672,291.979,295.233,57,"3,1","3,4",4,2,5,1,2,5,1,2,3,4,10,10,Maybe allow people to listen to the passage more than one time I guess.,2,birds,103688,true,6a0dc9ed2112792364e3b2d5,6a34085bf06baf2e13523910,6a340c8677b66d7bede31f73,2,
2026-06-18 11:21:54,2026-06-18 11:28:50,0,174.17.186.125,100,416,1,2026-06-18 11:28:51,R_6CCmobzrAGBbkrO,,,,,33.3789,-112.026,anonymous,EN,1,"4,7",3.342,3.342,114.594,1,5.746,100.24,106.295,38,"4,1","1,4",4,"2,3,4","1,2,3,4","3,4","1,2,4","1,3",1,"3,4",3,"1,2",10,10,"This was highly technical passage, that is not suited for a beginner.  If one, were to listen to an audio version of this book/passage, one would have to take notes.   Perhaps a high IQ person can follow along, but I think anyone with an average IQ would have difficulty following along.  The narration was fine, but again the facts come at you so quickly it's hard to remember.  This passage is suited well for text only, not for audio(unless you are expert on birds).     The questions were difficult(like taking the USMLE or a standardized exam like the SAT/ACT).  ",2,birds_listed,108894,true,69fe17913afcbf224f7f1600,6a34085bf06baf2e13523910,6a340d0a59798834df958c18,2,
2026-06-18 11:22:14,2026-06-18 11:29:06,0,76.146.150.210,100,411,1,2026-06-18 11:29:06,R_38ZmtuLVyck6MFT,,,,,47.8302,-122.3331,anonymous,EN,1,"4,7",2.879,2.879,194.272,1,10.138,124.105,125.065,23,4,1,4,5,2,5,3,1,3,5,3,3,9,10,"I thought I read somewhere that people only remember 20 or 30% of what they hear. I found the passage challenging to listen to, and the speaker's voice kind of put me to sleep. The questions were difficult to answer.",2,birds_repeat,190337,true,5de53996227eed0b8dd9c44d,6a34085bf06baf2e13523910,6a340c852a128051cbb0e72f,5,
2026-06-18 11:23:06,2026-06-18 11:29:07,0,97.87.33.239,100,361,1,2026-06-18 11:29:08,R_1ZWjRRA3YIfpMo0,,,,,36.1995,-81.1282,anonymous,EN,1,"4,7",2.033,2.033,107.417,1,27.901,190.773,191.792,19,4,3,4,"3,4","1,2",5,"2,3","1,2",3,5,3,"3,4",4,10,,2,birds_easier,102902,true,695fcc132c00b3dd67aec1a5,6a34085bf06baf2e13523910,6a340d26c704ba02fc84b6e7,2,
2026-06-18 11:21:45,2026-06-18 11:29:17,0,129.222.44.158,100,452,1,2026-06-18 11:29:17,R_5GwzTvUhjnlNHUy,,,,,44.9834,-93.2622,anonymous,EN,1,"4,7",2.133,2.133,113.601,1,7.054,273.42,285.543,23,1,5,4,"1,2","1,2","1,2",1,5,2,"3,4",3,"1,2",4,6,,2,birds_listed,108889,true,616cf9ae07c1c6bd05d95beb,6a34085bf06baf2e13523910,6a340cff7eeffc406e469762,2,
2026-06-18 11:21:52,2026-06-18 11:29:39,0,174.109.179.7,100,467,1,2026-06-18 11:29:39,R_520riDsoiQSuifT,,,,,35.8964,-78.7115,anonymous,EN,1,"4,7",2.973,2.973,194.922,1,3.504,149.609,157.5,18,1,5,4,"1,2","1,2,3","1,2",1,"1,2",1,5,3,"1,2",3,3,"A few words were badly pronounced, but not consistently throughout, such as ""song.""",2,birds_repeat,190170,true,623a4d7294028cfe9638272f,6a34085bf06baf2e13523910,6a340d0284603c1c663512fc,5,
2026-06-18 11:21:46,2026-06-18 11:29:42,0,38.42.6.209,100,476,1,2026-06-18 11:29:43,R_6COFO94YctrpFHf,,,,,38.9095,-77.0436,anonymous,EN,1,"4,7",1.577,1.577,216.569,1,14.856,180.262,181.848,53,"3,1",5,4,"1,2","1,2,3","1,2",1,2,"1,3","1,2",3,"1,2",8,7,"Because the names were unfamiliar, and had the Latin names after, it was hard to know what the narrator was saying, like even to the point of not sure where the words ended ",2,birds_distractors,210731,true,55ad1d55fdf99b4c8f9941d4,6a34085bf06baf2e13523910,6a340d02dc30dbbead46a398,5,
2026-06-18 11:19:48,2026-06-18 11:29:59,0,35.145.205.44,100,611,1,2026-06-18 11:30:00,R_57D7vGcYQMDnONP,,,,,27.8044,-82.2759,anonymous,EN,1,"4,7",217.62,217.62,322.163,1,3.77,229.578,232.188,23,"4,1","3,4",4,"1,2","1,2","1,2","1,4","1,2","1,3",4,3,"1,2",6,7,"no issues, just tried my best to remember all the fine details",2,birds_easier,102990,true,693ae439c80150eee614b287,6a34085bf06baf2e13523910,6a340c8ba28fef6e02689acf,2,
2026-06-18 11:21:52,2026-06-18 11:30:03,0,68.3.248.173,100,491,1,2026-06-18 11:30:03,R_6NET0q81qJc8BjS,,,,,33.4935,-111.9211,anonymous,EN,1,"4,7",3.503,3.503,228.695,1,45.729,212.611,215.6,15,1,5,4,1,"1,3","1,2",5,5,1,5,3,"1,2",10,10,,2,birds_distractors,210709,true,6813e67f495e6e5b4d1593a1,6a34085bf06baf2e13523910,6a340d07f0563a40aa913fc8,5,
2026-06-18 11:20:57,2026-06-18 11:30:20,0,209.74.123.237,100,563,1,2026-06-18 11:30:21,R_3hord28LdhB3PWN,,,,,42.4998,-85.4081,anonymous,EN,1,"4,7",3.904,3.904,115.443,1,12.567,163.509,164.363,21,2,"1,2",1,"1,2,4",2,"3,4","2,3","2,4","1,3","2,3",3,"1,3",8,9,i sucked at the questions,1,birds_listed,109013,true,62694f79608ed29b7af936b1,6a34085bf06baf2e13523910,6a340cc6cc82df8c44e144df,2,
2026-06-18 11:22:01,2026-06-18 11:30:30,0,163.252.185.18,100,509,1,2026-06-18 11:30:31,R_5qCtGicWvPErFE1,,,,,44.1092,-69.0982,anonymous,EN,1,"4,7",2.798,2.798,196.017,1,7.019,204.458,210.872,20,1,5,4,"1,2","1,3","1,2",4,"1,2",1,1,3,2,2,3,,2,birds_repeat,190185,true,69f677df2620a890a3478a64,6a34085bf06baf2e13523910,6a340d0b3fa384de9bd72352,5,
2026-06-18 11:19:52,2026-06-18 11:30:32,0,70.185.166.27,100,640,1,2026-06-18 11:30:33,R_3NwUsdDfb4QYLs3,,,,,32.7894,-83.6807,anonymous,EN,1,"4,7",8.346,8.346,117.914,1,41.042,442.707,443.698,32,2,3,4,4,"1,3",4,1,2,"1,3",4,3,1,4,10,,2,birds_easier,102901,true,69f74af69a7cdde7fdbe6cca,6a34085bf06baf2e13523910,6a340c87cb2d00efd4854e4a,2,
2026-06-18 11:22:16,2026-06-18 11:30:37,0,16.98.9.80,100,501,1,2026-06-18 11:30:38,R_5BbORcMfbnfIHgH,,,,,28.2284,-82.2043,anonymous,EN,1,"4,7",3.244,3.244,195.363,1,10.841,182.135,183.264,39,"4,2","1,2,4",,"2,4","3,4","1,3,4","3,4","2,4",1,"2,3",3,"1,2",10,10,"Very interesting study, as hard as i tried to keep up with the audio, when i got to the questions it was difficult to remember which statement went with which bird.  ",1,birds_repeat,190186,true,66d88375799e00b593a8655f,6a34085bf06baf2e13523910,6a340d12ba8202efbd4df5a2,5,
2026-06-18 11:20:32,2026-06-18 11:30:39,0,70.174.55.139,100,607,1,2026-06-18 11:30:40,R_7BCbZvN1bZXascV,,,,,36.7323,-76.0363,anonymous,EN,1,"4,7",1.881,1.881,196.121,1,58.391,348.903,349.824,24,1,5,"2,3",1,"1,2",1,5,5,1,5,3,2,10,10,Would have been nice to have a text to read along with,1,birds_repeat,190172,true,6a18e556695d00840058b827,6a34085bf06baf2e13523910,6a340c8a77ed6be4c9efc2d0,5,
2026-06-18 11:22:23,2026-06-18 11:30:45,0,71.247.35.233,100,502,1,2026-06-18 11:30:46,R_3FAXkhYNeaiBB17,,,,,40.7058,-73.3155,anonymous,EN,1,"4,7",7.103,7.103,112.954,1,3.843,274.189,277.469,19,"3,1","1,2",4,1,"1,2,3","1,2",1,"1,2",1,5,3,"1,2",6,4,"The passage was interesting and I would like to learn more about both species. ",2,birds_easier,103153,true,5acb7b0ae1099600016acdd6,6a34085bf06baf2e13523910,6a340d0989a650ec4aab0615,2,
2026-06-18 11:21:50,2026-06-18 11:31:00,0,129.222.143.8,100,550,1,2026-06-18 11:31:01,R_1fkdZz27Y90YOcs,,,,,33.4532,-112.0748,anonymous,EN,1,"4,7",5.1,5.1,197.346,1,11.788,214.433,215.76,22,5,1,4,"1,2,4","1,2,3","2,4","1,3,4",1,"1,3",1,3,4,6,10,I felt like it is very unlikely that a listener would be able to recall all the given information in the passage to answer were specific questions!,2,birds_repeat,190168,true,6705bf2688ed88bcafd57446,6a34085bf06baf2e13523910,6a340d07a68746ffc438b14a,5,
2026-06-18 11:20:57,2026-06-18 11:31:47,0,50.159.66.214,100,650,1,2026-06-18 11:31:48,R_63EjthDfbfWs624,,,,,36.0383,-115.1446,anonymous,EN,1,"4,7",4.634,4.634,218.152,1,37.153,320.709,329.061,20,1,5,4,"1,2","1,2,3","1,2",3,"1,2","1,3","1,2",3,"1,2",8,7,,2,birds_distractors,210712,true,6a17641ec8cfbda9ff46f2f6,6a34085bf06baf2e13523910,6a340ca941faa503640883de,5,
2026-06-18 11:22:00,2026-06-18 11:31:53,0,35.129.174.194,100,592,1,2026-06-18 11:31:53,R_1lQzfbbxRwIrMBP,,,,,33.346,-84.1091,anonymous,EN,1,"4,7",9.595,9.595,123.249,1,5.549,315.292,321.057,24,"3,2",2,4,"1,2","1,2,3",1,1,"3,4","1,3","3,4",3,2,4,6,The passage was very interesting. However. I found it hard to remember some of the facts about the two birds.,2,birds_easier,102886,true,69b3344ba8931c881988cfb6,6a34085bf06baf2e13523910,6a340d0e419b69b6fa5498b9,2,
2026-06-18 11:21:59,2026-06-18 11:32:14,0,96.28.88.208,100,614,1,2026-06-18 11:32:14,R_5r6sIHhuL2t5rky,,,,,37.9855,-84.5804,anonymous,EN,1,"4,7",3.799,3.799,225.024,1,14.957,215.073,216.341,28,"4,2","1,2",4,"1,2","2,3","3,4","3,4","2,3","3,4","1,2",3,"1,2",8,7,none,2,birds_distractors,210725,true,58a50aebbb9e0f0001aca2a7,6a34085bf06baf2e13523910,6a340c91657d96a2759cc0a6,5,
2026-06-18 11:21:56,2026-06-18 11:32:28,0,173.89.11.208,100,632,1,2026-06-18 11:32:29,R_19aTcMCfWwx2byF,,,,,43.014,-88.2783,anonymous,EN,1,"4,7",2.21,180.191,215.721,2,9.853,169.679,170.997,31,1,5,4,"1,2","1,2,3","3,4","2,4","2,3,4","2,4",2,3,4,10,10,"because the 3 bird species were not previously known or familiar to me, I found it hard to differentiate between them and I found their complex names hard to remember",2,birds_distractors,210707,true,6334b0fc574064de4e68f578,6a34085bf06baf2e13523910,6a340d0b215ba64affab2655,5,
